[1.0, 1.0, 0.0],0.5788755302315027
[0.0, 0.0, 0.0],0.012445631817160626
[1.0, 0.0, 0.0],0.15288942376227438
[0.0, 1.0, 1.0],0.08646222634732716
[1.0, 0.0, 1.0],0.029608248374202586
[0.0, 0.0, 1.0],0.023101881521677067
[1.0, 1.0, 1.0],0.07540962659294827
[0.0, 1.0, 0.0],0.04120743135290712

[1.0, 1.0, 0.0],0.04780636655626429
[0.0, 0.0, 0.0],0.045172043545744056
[1.0, 0.0, 0.0],0.13519506004436913
[0.0, 1.0, 1.0],0.18343455748911539
[1.0, 0.0, 1.0],0.24929125596968726
[0.0, 0.0, 1.0],0.03068520837547077
[1.0, 1.0, 1.0],0.2303126864835645
[0.0, 1.0, 0.0],0.0781028215357848

[1.0, 1.0, 0.0],0.32981642844771825
[0.0, 0.0, 0.0],0.0663965411153232
[1.0, 0.0, 0.0],0.14765207165394817
[0.0, 1.0, 1.0],0.08792833612741127
[1.0, 0.0, 1.0],0.01058018442144484
[0.0, 0.0, 1.0],0.006954564049392863
[1.0, 1.0, 1.0],0.3470909532224615
[0.0, 1.0, 0.0],0.0035809209622999767

[1.0, 1.0, 0.0],0.10530915358337917
[0.0, 0.0, 0.0],0.08535487160385462
[1.0, 0.0, 0.0],0.14557758263032758
[0.0, 1.0, 1.0],0.09152450039828686
[1.0, 0.0, 1.0],0.006668096651432047
[0.0, 0.0, 1.0],0.002360898421881061
[1.0, 1.0, 1.0],0.5287396800208823
[0.0, 1.0, 0.0],0.0344652166899563

[1.0, 1.0, 0.0],0.20577085146082053
[0.0, 0.0, 0.0],0.15659966259737004
[1.0, 0.0, 0.0],0.04868595251821262
[0.0, 1.0, 1.0],0.11577193607496053
[1.0, 0.0, 1.0],0.0306023331377358
[0.0, 0.0, 1.0],0.03768526509323943
[1.0, 1.0, 1.0],0.0994243657864136
[0.0, 1.0, 0.0],0.3054596333312473

[1.0, 1.0, 0.0],0.3969799669536133
[0.0, 0.0, 0.0],0.012513486127138302
[1.0, 0.0, 0.0],0.09029416266701414
[0.0, 1.0, 1.0],0.09405319346124759
[1.0, 0.0, 1.0],0.05354156864459862
[0.0, 0.0, 1.0],0.08437167725866607
[1.0, 1.0, 1.0],0.1877865004430235
[0.0, 1.0, 0.0],0.08045944444469838

[1.0, 1.0, 0.0],0.14455930013570628
[0.0, 0.0, 0.0],0.14913529792576014
[1.0, 0.0, 0.0],0.14393730475816746
[0.0, 1.0, 1.0],0.03003050516478338
[1.0, 0.0, 1.0],0.013912161588685645
[0.0, 0.0, 1.0],0.5055075857671487
[1.0, 1.0, 1.0],0.0006328343460798472
[0.0, 1.0, 0.0],0.012285010313668455

